08/14/2024-20:19:20.485613  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49942 -> 72.5.43.29:80
08/14/2024-20:19:57.021168  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49949 -> 72.5.43.29:80
08/14/2024-20:30:10.604284  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50077 -> 72.5.43.29:80
08/14/2024-20:20:15.262082  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49953 -> 72.5.43.29:80
08/14/2024-20:20:02.097110  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49950 -> 72.5.43.29:80
08/14/2024-20:30:19.138677  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50080 -> 72.5.43.29:80
08/14/2024-20:22:14.469568  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49984 -> 72.5.43.29:80
08/14/2024-20:20:27.764460  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49955 -> 72.5.43.29:80
08/14/2024-20:30:45.978775  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50085 -> 72.5.43.29:80
08/14/2024-20:22:28.136219  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49986 -> 72.5.43.29:80
08/14/2024-20:20:50.642586  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49959 -> 72.5.43.29:80
08/14/2024-20:30:54.817855  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50086 -> 72.5.43.29:80
08/14/2024-20:20:56.031433  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49960 -> 72.5.43.29:80
08/14/2024-20:31:02.228306  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50087 -> 72.5.43.29:80
